danrer_gene_id	danrer_transcript_id	number_of_exons	astmex_gene_id	danrer_gene_id	gadmor_gene_id	gasacu_gene_id	orenil_gene_id	orylat_gene_id	poefor_gene_id	takrub_gene_id
ENSDARG00000074121	ENSDART00000152971	6	ENSAMXG00000014385	ENSDARG00000074121	ENSGMOG00000005405	ENSGACG00000006500	ENSONIG00000016351	ENSORLG00000004732	ENSPFOG00000003584	ENSTRUG00000013136	
ENSDARG00000074137	ENSDART00000112974	14	ENSAMXG00000003939	ENSDARG00000074137	ENSGMOG00000016376	ENSGACG00000011281	ENSONIG00000013198	ENSORLG00000004303	ENSPFOG00000007777	ENSTRUG00000007403	
ENSDARG00000074314	ENSDART00000100800	6	ENSAMXG00000007850	ENSDARG00000074314	ENSGMOG00000016890	ENSGACG00000010433	ENSONIG00000011818	ENSORLG00000010323	ENSPFOG00000006207	ENSTRUG00000002140	
ENSDARG00000074335	ENSDART00000111025	6	ENSAMXG00000014704	ENSDARG00000074335			ENSONIG00000014095	ENSORLG00000009087	ENSPFOG00000009136	ENSTRUG00000001346	
ENSDARG00000074410	ENSDART00000112643	7	ENSAMXG00000001555	ENSDARG00000074410	ENSGMOG00000002816	ENSGACG00000013558	ENSONIG00000010466	ENSORLG00000014821	ENSPFOG00000016438	ENSTRUG00000007748	
ENSDARG00000074498	ENSDART00000027807	5	ENSAMXG00000005652	ENSDARG00000074498	ENSGMOG00000006040	ENSGACG00000016694	ENSONIG00000002816	ENSORLG00000013810	ENSPFOG00000015839	ENSTRUG00000009125	
ENSDARG00000074506	ENSDART00000111259	9	ENSAMXG00000011661	ENSDARG00000074506	ENSGMOG00000009320	ENSGACG00000015266	ENSONIG00000013584		ENSPFOG00000012805	ENSTRUG00000006680	
ENSDARG00000074524	ENSDART00000111981	11	ENSAMXG00000012641	ENSDARG00000074524	ENSGMOG00000015582	ENSGACG00000008483	ENSONIG00000001227	ENSORLG00000004387	ENSPFOG00000013864	ENSTRUG00000014881	
ENSDARG00000074571	ENSDART00000114431	5	ENSAMXG00000006238	ENSDARG00000074571	ENSGMOG00000002097	ENSGACG00000017835	ENSONIG00000009620	ENSORLG00000017289	ENSPFOG00000015228	ENSTRUG00000010940	
ENSDARG00000074623	ENSDART00000114528	6	ENSAMXG00000017061	ENSDARG00000074623	ENSGMOG00000009479	ENSGACG00000005646		ENSORLG00000006268	ENSPFOG00000019012	ENSTRUG00000017538	
ENSDARG00000074675	ENSDART00000140351	8	ENSAMXG00000005418	ENSDARG00000074675	ENSGMOG00000007249	ENSGACG00000010722	ENSONIG00000016732	ENSORLG00000015195	ENSPFOG00000008392	ENSTRUG00000014260	
ENSDARG00000074749	ENSDART00000109197	10	ENSAMXG00000018815	ENSDARG00000074749	ENSGMOG00000012822	ENSGACG00000006476	ENSONIG00000004195	ENSORLG00000016083	ENSPFOG00000001738	ENSTRUG00000014299	
ENSDARG00000074758	ENSDART00000132680	6	ENSAMXG00000007436	ENSDARG00000074758	ENSGMOG00000012731	ENSGACG00000004544	ENSONIG00000009309	ENSORLG00000000707	ENSPFOG00000012664	ENSTRUG00000007996	
ENSDARG00000074759	ENSDART00000109579	5	ENSAMXG00000001383	ENSDARG00000074759	ENSGMOG00000006757	ENSGACG00000007905	ENSONIG00000018419	ENSORLG00000007436	ENSPFOG00000003164	ENSTRUG00000013280	
ENSDARG00000074955	ENSDART00000007981	12	ENSAMXG00000019286	ENSDARG00000074955	ENSGMOG00000001450	ENSGACG00000001942	ENSONIG00000007458		ENSPFOG00000000270	ENSTRUG00000002669	
ENSDARG00000075072	ENSDART00000110167	5	ENSAMXG00000011614	ENSDARG00000075072	ENSGMOG00000011108	ENSGACG00000008807	ENSONIG00000020095	ENSORLG00000015409	ENSPFOG00000005635	ENSTRUG00000013352	
ENSDARG00000075083	ENSDART00000051679	35	ENSAMXG00000007058	ENSDARG00000075083	ENSGMOG00000018038	ENSGACG00000001974	ENSONIG00000004883	ENSORLG00000005452	ENSPFOG00000009853	ENSTRUG00000017418	
ENSDARG00000075098	ENSDART00000110824	9	ENSAMXG00000019994	ENSDARG00000075098	ENSGMOG00000016486	ENSGACG00000016493	ENSONIG00000006739		ENSPFOG00000008516	ENSTRUG00000009967	
ENSDARG00000075159	ENSDART00000088403	5	ENSAMXG00000010664	ENSDARG00000075159	ENSGMOG00000018637	ENSGACG00000006222	ENSONIG00000008946	ENSORLG00000011217	ENSPFOG00000014515	ENSTRUG00000018361	
ENSDARG00000075354	ENSDART00000156645	10	ENSAMXG00000001539	ENSDARG00000075354	ENSGMOG00000000612	ENSGACG00000000685	ENSONIG00000019117	ENSORLG00000001751	ENSPFOG00000009979	ENSTRUG00000006657	
ENSDARG00000075612	ENSDART00000112380	6	ENSAMXG00000012559	ENSDARG00000075612	ENSGMOG00000003586	ENSGACG00000006938	ENSONIG00000009583		ENSPFOG00000006551	ENSTRUG00000013472	
ENSDARG00000075672	ENSDART00000111565	5	ENSAMXG00000007809	ENSDARG00000075672	ENSGMOG00000004275	ENSGACG00000009489	ENSONIG00000019836	ENSORLG00000003486	ENSPFOG00000013622	ENSTRUG00000016791	
ENSDARG00000075824	ENSDART00000142215	10	ENSAMXG00000005443	ENSDARG00000075824	ENSGMOG00000014826	ENSGACG00000009138	ENSONIG00000006070	ENSORLG00000008945	ENSPFOG00000017240	ENSTRUG00000009529	
ENSDARG00000075825	ENSDART00000109223	7	ENSAMXG00000002508	ENSDARG00000075825	ENSGMOG00000010789	ENSGACG00000003500	ENSONIG00000005829	ENSORLG00000009723	ENSPFOG00000012880	ENSTRUG00000017488	
ENSDARG00000075826	ENSDART00000111123	5	ENSAMXG00000001485	ENSDARG00000075826	ENSGMOG00000016471	ENSGACG00000007948	ENSONIG00000020152	ENSORLG00000016146	ENSPFOG00000002519	ENSTRUG00000018083	
ENSDARG00000075842	ENSDART00000143728	5	ENSAMXG00000002708	ENSDARG00000075842	ENSGMOG00000008083	ENSGACG00000006920	ENSONIG00000002222	ENSORLG00000004852	ENSPFOG00000008243	ENSTRUG00000013762	
ENSDARG00000075883	ENSDART00000153244	5	ENSAMXG00000004273	ENSDARG00000075883	ENSGMOG00000019042	ENSGACG00000002522	ENSONIG00000016031	ENSORLG00000009565	ENSPFOG00000011421	ENSTRUG00000010515	
ENSDARG00000075884	ENSDART00000155703	11	ENSAMXG00000000549	ENSDARG00000075884	ENSGMOG00000016082	ENSGACG00000011582	ENSONIG00000000684		ENSPFOG00000014995	ENSTRUG00000001674	
ENSDARG00000075886	ENSDART00000114163	7	ENSAMXG00000001494	ENSDARG00000075886	ENSGMOG00000011987	ENSGACG00000015077	ENSONIG00000010076	ENSORLG00000015755	ENSPFOG00000005629	ENSTRUG00000014293	
ENSDARG00000075948	ENSDART00000111929	6	ENSAMXG00000003400	ENSDARG00000075948	ENSGMOG00000007021	ENSGACG00000004451	ENSONIG00000012098	ENSORLG00000002407	ENSPFOG00000015625	ENSTRUG00000002381	
ENSDARG00000076041	ENSDART00000113678	6	ENSAMXG00000006817	ENSDARG00000076041	ENSGMOG00000014719	ENSGACG00000020812	ENSONIG00000016421		ENSPFOG00000021692	ENSTRUG00000000744	
ENSDARG00000076055	ENSDART00000138541	5	ENSAMXG00000004873	ENSDARG00000076055	ENSGMOG00000000915	ENSGACG00000019896	ENSONIG00000019924	ENSORLG00000003969	ENSPFOG00000004441	ENSTRUG00000006763	
ENSDARG00000076110	ENSDART00000111559	5	ENSAMXG00000018927	ENSDARG00000076110		ENSGACG00000003193	ENSONIG00000004612	ENSORLG00000003602	ENSPFOG00000001096	ENSTRUG00000011719	
ENSDARG00000076171	ENSDART00000037516	6	ENSAMXG00000019655	ENSDARG00000076171	ENSGMOG00000007441	ENSGACG00000017225	ENSONIG00000010003	ENSORLG00000007396	ENSPFOG00000008596	ENSTRUG00000014413	
ENSDARG00000076189	ENSDART00000110103	6	ENSAMXG00000010513	ENSDARG00000076189	ENSGMOG00000017922	ENSGACG00000016915	ENSONIG00000005318	ENSORLG00000002559	ENSPFOG00000009797	ENSTRUG00000013987	
ENSDARG00000076362	ENSDART00000154660	5	ENSAMXG00000001445	ENSDARG00000076362	ENSGMOG00000016378	ENSGACG00000007915	ENSONIG00000020155	ENSORLG00000016188	ENSPFOG00000001886	ENSTRUG00000018131	
ENSDARG00000076559	ENSDART00000113014	8	ENSAMXG00000004228	ENSDARG00000076559	ENSGMOG00000002866	ENSGACG00000017953	ENSONIG00000009527	ENSORLG00000017508	ENSPFOG00000013941	ENSTRUG00000005744	
ENSDARG00000076801	ENSDART00000042624	5	ENSAMXG00000011055	ENSDARG00000076801	ENSGMOG00000005100	ENSGACG00000016344	ENSONIG00000000111	ENSORLG00000020481	ENSPFOG00000001918	ENSTRUG00000002020	
ENSDARG00000076919	ENSDART00000113467	6	ENSAMXG00000019505	ENSDARG00000076919	ENSGMOG00000013752	ENSGACG00000016534	ENSONIG00000002671		ENSPFOG00000016253	ENSTRUG00000009917	
ENSDARG00000076920	ENSDART00000112046	5	ENSAMXG00000007732	ENSDARG00000076920	ENSGMOG00000001344	ENSGACG00000008023	ENSONIG00000011809	ENSORLG00000006291	ENSPFOG00000012615	ENSTRUG00000001322	
ENSDARG00000076994	ENSDART00000112331	6	ENSAMXG00000001112	ENSDARG00000076994	ENSGMOG00000006114	ENSGACG00000011049	ENSONIG00000011658	ENSORLG00000011400	ENSPFOG00000012392	ENSTRUG00000008432	
ENSDARG00000077002	ENSDART00000113418	7	ENSAMXG00000016707	ENSDARG00000077002	ENSGMOG00000000627	ENSGACG00000003812	ENSONIG00000016010	ENSORLG00000017870	ENSPFOG00000002036	ENSTRUG00000010573	
ENSDARG00000077011	ENSDART00000114486	5	ENSAMXG00000011448	ENSDARG00000077011	ENSGMOG00000010011	ENSGACG00000003278	ENSONIG00000016984	ENSORLG00000013171	ENSPFOG00000008598	ENSTRUG00000010893	
ENSDARG00000077139	ENSDART00000113176	8	ENSAMXG00000020373	ENSDARG00000077139	ENSGMOG00000000721	ENSGACG00000001609	ENSONIG00000007828		ENSPFOG00000001990	ENSTRUG00000007787	
ENSDARG00000077307	ENSDART00000109506	5	ENSAMXG00000013301	ENSDARG00000077307	ENSGMOG00000009834	ENSGACG00000007325	ENSONIG00000002395	ENSORLG00000005435	ENSPFOG00000019085	ENSTRUG00000010078	
ENSDARG00000077442	ENSDART00000065122	7	ENSAMXG00000012630	ENSDARG00000077442	ENSGMOG00000004608	ENSGACG00000013824	ENSONIG00000004583	ENSORLG00000016018	ENSPFOG00000015327	ENSTRUG00000010285	
ENSDARG00000077469	ENSDART00000113305	9	ENSAMXG00000020896	ENSDARG00000077469	ENSGMOG00000005847	ENSGACG00000003012	ENSONIG00000010382	ENSORLG00000000890	ENSPFOG00000010484	ENSTRUG00000006581	
ENSDARG00000077516	ENSDART00000109130	7	ENSAMXG00000004768	ENSDARG00000077516	ENSGMOG00000001340	ENSGACG00000015014	ENSONIG00000019801	ENSORLG00000019149	ENSPFOG00000005814	ENSTRUG00000012749	
ENSDARG00000077530	ENSDART00000115321	7	ENSAMXG00000001260	ENSDARG00000077530	ENSGMOG00000010387	ENSGACG00000016245		ENSORLG00000011334	ENSPFOG00000016577	ENSTRUG00000005280	
ENSDARG00000077536	ENSDART00000109885	18	ENSAMXG00000005684	ENSDARG00000077536	ENSGMOG00000004881	ENSGACG00000011474	ENSONIG00000010714	ENSORLG00000012286	ENSPFOG00000015110		
ENSDARG00000077570	ENSDART00000109534	7	ENSAMXG00000005249	ENSDARG00000077570	ENSGMOG00000001257	ENSGACG00000015392	ENSONIG00000003074	ENSORLG00000005424	ENSPFOG00000007824	ENSTRUG00000017243	
ENSDARG00000077639	ENSDART00000113131	6	ENSAMXG00000013548	ENSDARG00000077639	ENSGMOG00000005821	ENSGACG00000019072	ENSONIG00000012997	ENSORLG00000007884	ENSPFOG00000004945	ENSTRUG00000001916	
ENSDARG00000077823	ENSDART00000110721	6	ENSAMXG00000017113	ENSDARG00000077823	ENSGMOG00000010114	ENSGACG00000018011	ENSONIG00000013061	ENSORLG00000004891	ENSPFOG00000004457	ENSTRUG00000005874	
ENSDARG00000077839	ENSDART00000113021	6	ENSAMXG00000014791	ENSDARG00000077839	ENSGMOG00000008538	ENSGACG00000017828	ENSONIG00000009631	ENSORLG00000017276	ENSPFOG00000015329	ENSTRUG00000011263	
ENSDARG00000078127	ENSDART00000109707	13	ENSAMXG00000019983	ENSDARG00000078127	ENSGMOG00000007693	ENSGACG00000019362	ENSONIG00000009220	ENSORLG00000006500	ENSPFOG00000008290	ENSTRUG00000012632	
ENSDARG00000078135	ENSDART00000109409	10	ENSAMXG00000010776	ENSDARG00000078135	ENSGMOG00000000208	ENSGACG00000009057	ENSONIG00000000936	ENSORLG00000003284	ENSPFOG00000008982	ENSTRUG00000016361	
ENSDARG00000078227	ENSDART00000112782	5	ENSAMXG00000008682	ENSDARG00000078227	ENSGMOG00000009287	ENSGACG00000007480	ENSONIG00000012858	ENSORLG00000001819	ENSPFOG00000014126	ENSTRUG00000016112	
ENSDARG00000078508	ENSDART00000101525	8	ENSAMXG00000004020	ENSDARG00000078508	ENSGMOG00000002303	ENSGACG00000012835	ENSONIG00000014997	ENSORLG00000009301	ENSPFOG00000018664	ENSTRUG00000014599	
ENSDARG00000078535	ENSDART00000113498	10	ENSAMXG00000014276	ENSDARG00000078535	ENSGMOG00000012555	ENSGACG00000017011	ENSONIG00000018639	ENSORLG00000017927	ENSPFOG00000006195	ENSTRUG00000003213	
ENSDARG00000078582	ENSDART00000109288	6	ENSAMXG00000003764	ENSDARG00000078582	ENSGMOG00000018320	ENSGACG00000003570	ENSONIG00000014363	ENSORLG00000017978	ENSPFOG00000010948	ENSTRUG00000005675	
ENSDARG00000078593	ENSDART00000111563	13	ENSAMXG00000017102	ENSDARG00000078593	ENSGMOG00000007060	ENSGACG00000009203	ENSONIG00000016347	ENSORLG00000013350	ENSPFOG00000002911	ENSTRUG00000006143	
ENSDARG00000078751	ENSDART00000112730	8	ENSAMXG00000014955	ENSDARG00000078751	ENSGMOG00000008629	ENSGACG00000015300	ENSONIG00000003136	ENSORLG00000004938	ENSPFOG00000009375	ENSTRUG00000017223	
ENSDARG00000078759	ENSDART00000109798	9	ENSAMXG00000021028	ENSDARG00000078759	ENSGMOG00000012407	ENSGACG00000016111	ENSONIG00000017036	ENSORLG00000010460	ENSPFOG00000015056	ENSTRUG00000005048	
ENSDARG00000078850	ENSDART00000109134	6	ENSAMXG00000012605	ENSDARG00000078850	ENSGMOG00000008382	ENSGACG00000005254	ENSONIG00000006540	ENSORLG00000019294	ENSPFOG00000015306	ENSTRUG00000004174	
ENSDARG00000078979	ENSDART00000110330	9	ENSAMXG00000018215	ENSDARG00000078979	ENSGMOG00000019429	ENSGACG00000018916	ENSONIG00000007849	ENSORLG00000010082	ENSPFOG00000015262	ENSTRUG00000003527	
ENSDARG00000079015	ENSDART00000111472	8	ENSAMXG00000013027	ENSDARG00000079015	ENSGMOG00000009699	ENSGACG00000011490	ENSONIG00000005522		ENSPFOG00000001640	ENSTRUG00000006177	
ENSDARG00000079241	ENSDART00000109221	10	ENSAMXG00000007168	ENSDARG00000079241		ENSGACG00000009083	ENSONIG00000019995	ENSORLG00000007603	ENSPFOG00000015613	ENSTRUG00000015307	
ENSDARG00000079388	ENSDART00000114067	11	ENSAMXG00000012767	ENSDARG00000079388	ENSGMOG00000015163	ENSGACG00000004839	ENSONIG00000009289	ENSORLG00000000529	ENSPFOG00000001570	ENSTRUG00000006249	
ENSDARG00000079463	ENSDART00000114203	9	ENSAMXG00000010962	ENSDARG00000079463	ENSGMOG00000013695	ENSGACG00000019289	ENSONIG00000009282	ENSORLG00000007017	ENSPFOG00000012127	ENSTRUG00000014860	
ENSDARG00000079687	ENSDART00000108518	5	ENSAMXG00000019487	ENSDARG00000079687	ENSGMOG00000001081	ENSGACG00000012715	ENSONIG00000011167	ENSORLG00000014788	ENSPFOG00000012846	ENSTRUG00000016119	
ENSDARG00000079702	ENSDART00000156621	6	ENSAMXG00000008375	ENSDARG00000079702	ENSGMOG00000010409	ENSGACG00000010871	ENSONIG00000013140	ENSORLG00000004824	ENSPFOG00000003795	ENSTRUG00000002991	
ENSDARG00000079773	ENSDART00000114653	7	ENSAMXG00000017784	ENSDARG00000079773	ENSGMOG00000001828	ENSGACG00000007833	ENSONIG00000018231	ENSORLG00000014089	ENSPFOG00000012976	ENSTRUG00000013075	
ENSDARG00000079818	ENSDART00000109412	6	ENSAMXG00000012252	ENSDARG00000079818	ENSGMOG00000000020	ENSGACG00000001186	ENSONIG00000012532		ENSPFOG00000002091	ENSTRUG00000018644	
ENSDARG00000079854	ENSDART00000074038	5	ENSAMXG00000010505	ENSDARG00000079854	ENSGMOG00000012162	ENSGACG00000017569	ENSONIG00000005311	ENSORLG00000002624	ENSPFOG00000010061	ENSTRUG00000014219	
ENSDARG00000086345	ENSDART00000134378	5	ENSAMXG00000006105	ENSDARG00000086345	ENSGMOG00000017485	ENSGACG00000013522	ENSONIG00000015972	ENSORLG00000015973	ENSPFOG00000005210	ENSTRUG00000015853	
ENSDARG00000086452	ENSDART00000123868	5	ENSAMXG00000018777	ENSDARG00000086452		ENSGACG00000019301	ENSONIG00000009259		ENSPFOG00000011416	ENSTRUG00000014629	
ENSDARG00000087352	ENSDART00000128014	25	ENSAMXG00000002878	ENSDARG00000087352	ENSGMOG00000007920	ENSGACG00000012383	ENSONIG00000019908	ENSORLG00000003766	ENSPFOG00000001975	ENSTRUG00000009810	
ENSDARG00000087657	ENSDART00000124083	26	ENSAMXG00000012577	ENSDARG00000087657	ENSGMOG00000005697	ENSGACG00000002204	ENSONIG00000007292	ENSORLG00000013515	ENSPFOG00000012370	ENSTRUG00000004461	
ENSDARG00000087921	ENSDART00000124097	14	ENSAMXG00000004946	ENSDARG00000087921	ENSGMOG00000009528	ENSGACG00000006801	ENSONIG00000016435	ENSORLG00000005200	ENSPFOG00000012824	ENSTRUG00000009451	
ENSDARG00000089581	ENSDART00000153108	6	ENSAMXG00000014875	ENSDARG00000089581	ENSGMOG00000008223	ENSGACG00000006575	ENSONIG00000016370	ENSORLG00000004787	ENSPFOG00000002641	ENSTRUG00000012414	
ENSDARG00000089917	ENSDART00000130469	6	ENSAMXG00000001194	ENSDARG00000089917	ENSGMOG00000001820	ENSGACG00000018457	ENSONIG00000017645	ENSORLG00000007524	ENSPFOG00000000208	ENSTRUG00000008708	
ENSDARG00000090036	ENSDART00000126640	6	ENSAMXG00000006642	ENSDARG00000090036	ENSGMOG00000008872	ENSGACG00000008899	ENSONIG00000020381	ENSORLG00000008666	ENSPFOG00000010223	ENSTRUG00000015108	
ENSDARG00000090183	ENSDART00000112854	10	ENSAMXG00000001364	ENSDARG00000090183			ENSONIG00000010891	ENSORLG00000013237	ENSPFOG00000017281	ENSTRUG00000008223	
ENSDARG00000090623	ENSDART00000152987	6	ENSAMXG00000019174	ENSDARG00000090623	ENSGMOG00000017968	ENSGACG00000016007	ENSONIG00000010669	ENSORLG00000008383	ENSPFOG00000016492	ENSTRUG00000003889	
ENSDARG00000091512	ENSDART00000126570	5	ENSAMXG00000006111	ENSDARG00000091512	ENSGMOG00000019315	ENSGACG00000020662	ENSONIG00000005012	ENSORLG00000006270	ENSPFOG00000019054	ENSTRUG00000016994	
ENSDARG00000091538	ENSDART00000123574	5	ENSAMXG00000003555	ENSDARG00000091538	ENSGMOG00000002692	ENSGACG00000014926	ENSONIG00000012025	ENSORLG00000004324	ENSPFOG00000015201	ENSTRUG00000011885	
ENSDARG00000091652	ENSDART00000125413	5	ENSAMXG00000019370	ENSDARG00000091652	ENSGMOG00000006396	ENSGACG00000014328	ENSONIG00000016673	ENSORLG00000013005	ENSPFOG00000013932	ENSTRUG00000004895	
ENSDARG00000094380	ENSDART00000141463	24	ENSAMXG00000015661	ENSDARG00000094380	ENSGMOG00000012326	ENSGACG00000020225	ENSONIG00000017503	ENSORLG00000011663	ENSPFOG00000010928	ENSTRUG00000001469	
ENSDARG00000095879	ENSDART00000143009	5	ENSAMXG00000019928	ENSDARG00000095879	ENSGMOG00000017015	ENSGACG00000002926	ENSONIG00000017243	ENSORLG00000010831	ENSPFOG00000011880	ENSTRUG00000011745	
ENSDARG00000095890	ENSDART00000149720	10	ENSAMXG00000001859	ENSDARG00000095890	ENSGMOG00000006668	ENSGACG00000005553	ENSONIG00000007298	ENSORLG00000020729	ENSPFOG00000019091	ENSTRUG00000017456	
ENSDARG00000098118	ENSDART00000166691	9	ENSAMXG00000020247	ENSDARG00000098118	ENSGMOG00000002328	ENSGACG00000002130	ENSONIG00000017089	ENSORLG00000010325	ENSPFOG00000015518	ENSTRUG00000014791	
ENSDARG00000098544	ENSDART00000165688	5	ENSAMXG00000010355	ENSDARG00000098544	ENSGMOG00000009495	ENSGACG00000002669	ENSONIG00000013638	ENSORLG00000009735	ENSPFOG00000001489	ENSTRUG00000009054	
ENSDARG00000098641	ENSDART00000158704	8	ENSAMXG00000016343	ENSDARG00000098641	ENSGMOG00000016913	ENSGACG00000008637	ENSONIG00000003066	ENSORLG00000008199	ENSPFOG00000000413	ENSTRUG00000013855	
ENSDARG00000098733	ENSDART00000170951	8	ENSAMXG00000013926	ENSDARG00000098733	ENSGMOG00000000644	ENSGACG00000013250	ENSONIG00000011663	ENSORLG00000017847	ENSPFOG00000005747	ENSTRUG00000002824	
ENSDARG00000098868	ENSDART00000170602	5	ENSAMXG00000005187	ENSDARG00000098868	ENSGMOG00000012528	ENSGACG00000008050	ENSONIG00000018463	ENSORLG00000007230	ENSPFOG00000004497	ENSTRUG00000012007	
ENSDARG00000098904	ENSDART00000160356	6	ENSAMXG00000014209	ENSDARG00000098904	ENSGMOG00000006887	ENSGACG00000005816	ENSONIG00000002198	ENSORLG00000010989	ENSPFOG00000006185	ENSTRUG00000012156	
ENSDARG00000099431	ENSDART00000157919	6	ENSAMXG00000012180	ENSDARG00000099431	ENSGMOG00000006520	ENSGACG00000008529	ENSONIG00000019926	ENSORLG00000008227	ENSPFOG00000016585	ENSTRUG00000016382	
ENSDARG00000099458	ENSDART00000159491	9	ENSAMXG00000008413	ENSDARG00000099458	ENSGMOG00000007990	ENSGACG00000000166	ENSONIG00000017282	ENSORLG00000000903	ENSPFOG00000004966	ENSTRUG00000008878	
ENSDARG00000099545	ENSDART00000169527	7	ENSAMXG00000005912	ENSDARG00000099545	ENSGMOG00000005477	ENSGACG00000019651	ENSONIG00000015865	ENSORLG00000008915	ENSPFOG00000003004	ENSTRUG00000005163	
ENSDARG00000099547	ENSDART00000159759	13	ENSAMXG00000012406	ENSDARG00000099547	ENSGMOG00000010845	ENSGACG00000014174	ENSONIG00000012000	ENSORLG00000004184		ENSTRUG00000010979	
ENSDARG00000099558	ENSDART00000163348	5	ENSAMXG00000009702	ENSDARG00000099558	ENSGMOG00000016777	ENSGACG00000011826	ENSONIG00000010808	ENSORLG00000012854	ENSPFOG00000016445	ENSTRUG00000005135	
ENSDARG00000099652	ENSDART00000171138	7	ENSAMXG00000013542	ENSDARG00000099652	ENSGMOG00000018888	ENSGACG00000000589	ENSONIG00000007471	ENSORLG00000020105	ENSPFOG00000002834	ENSTRUG00000010084	
ENSDARG00000099768	ENSDART00000164149	7	ENSAMXG00000014080	ENSDARG00000099768	ENSGMOG00000000774	ENSGACG00000003573	ENSONIG00000008871	ENSORLG00000001868	ENSPFOG00000013395	ENSTRUG00000016302	
ENSDARG00000099798	ENSDART00000163553	11	ENSAMXG00000000684	ENSDARG00000099798	ENSGMOG00000000877	ENSGACG00000003609	ENSONIG00000008861	ENSORLG00000002173	ENSPFOG00000012989	ENSTRUG00000016355	
ENSDARG00000099966	ENSDART00000172066	15	ENSAMXG00000020046	ENSDARG00000099966	ENSGMOG00000007725	ENSGACG00000019366	ENSONIG00000009231	ENSORLG00000006431	ENSPFOG00000007890	ENSTRUG00000012320	
ENSDARG00000099979	ENSDART00000165022	5	ENSAMXG00000016702	ENSDARG00000099979	ENSGMOG00000013803	ENSGACG00000004328	ENSONIG00000019257	ENSORLG00000013933	ENSPFOG00000016881	ENSTRUG00000012898	
ENSDARG00000100013	ENSDART00000162978	7	ENSAMXG00000004396	ENSDARG00000100013	ENSGMOG00000002840	ENSGACG00000015776	ENSONIG00000005916	ENSORLG00000007853	ENSPFOG00000001246	ENSTRUG00000017588	
ENSDARG00000100151	ENSDART00000164208	7	ENSAMXG00000014742	ENSDARG00000100151	ENSGMOG00000008939	ENSGACG00000003928	ENSONIG00000008780		ENSPFOG00000009509	ENSTRUG00000016635	
ENSDARG00000100359	ENSDART00000170306	7	ENSAMXG00000014228	ENSDARG00000100359	ENSGMOG00000015665	ENSGACG00000005788	ENSONIG00000012024	ENSORLG00000016669	ENSPFOG00000014094	ENSTRUG00000015404	
ENSDARG00000100419	ENSDART00000163595	16	ENSAMXG00000001060	ENSDARG00000100419	ENSGMOG00000004941	ENSGACG00000014088	ENSONIG00000001331	ENSORLG00000004733	ENSPFOG00000012354	ENSTRUG00000013554	
ENSDARG00000100473	ENSDART00000157513	6	ENSAMXG00000014549	ENSDARG00000100473	ENSGMOG00000007218	ENSGACG00000002854	ENSONIG00000014855	ENSORLG00000000629	ENSPFOG00000007111	ENSTRUG00000010647	
ENSDARG00000100481	ENSDART00000158537	7	ENSAMXG00000017326	ENSDARG00000100481	ENSGMOG00000019077	ENSGACG00000020521	ENSONIG00000005594	ENSORLG00000003317	ENSPFOG00000012035	ENSTRUG00000000358	
ENSDARG00000100524	ENSDART00000159252	12	ENSAMXG00000018888	ENSDARG00000100524	ENSGMOG00000004678	ENSGACG00000011277	ENSONIG00000005221	ENSORLG00000008142	ENSPFOG00000010081	ENSTRUG00000007310	
ENSDARG00000101043	ENSDART00000157729	6	ENSAMXG00000010610	ENSDARG00000101043	ENSGMOG00000019028	ENSGACG00000004404	ENSONIG00000003424	ENSORLG00000018743	ENSPFOG00000014679	ENSTRUG00000012163	
ENSDARG00000101220	ENSDART00000166295	8	ENSAMXG00000018258	ENSDARG00000101220	ENSGMOG00000011829	ENSGACG00000012957	ENSONIG00000002405	ENSORLG00000004329	ENSPFOG00000003911	ENSTRUG00000018040	
ENSDARG00000101270	ENSDART00000157614	5	ENSAMXG00000015545	ENSDARG00000101270	ENSGMOG00000002584	ENSGACG00000016351	ENSONIG00000007641		ENSPFOG00000004995	ENSTRUG00000013714	
ENSDARG00000101385	ENSDART00000157945	5	ENSAMXG00000003967	ENSDARG00000101385	ENSGMOG00000012232	ENSGACG00000017671	ENSONIG00000005228	ENSORLG00000002966	ENSPFOG00000011322	ENSTRUG00000015007	
ENSDARG00000101644	ENSDART00000160841	8	ENSAMXG00000013562	ENSDARG00000101644	ENSGMOG00000010857	ENSGACG00000008207	ENSONIG00000005049	ENSORLG00000010324	ENSPFOG00000002035	ENSTRUG00000006375	
ENSDARG00000101670	ENSDART00000170757	7	ENSAMXG00000011908	ENSDARG00000101670	ENSGMOG00000013998	ENSGACG00000008197	ENSONIG00000013274	ENSORLG00000006047	ENSPFOG00000012079	ENSTRUG00000008388	
ENSDARG00000102122	ENSDART00000158973	6	ENSAMXG00000014545	ENSDARG00000102122	ENSGMOG00000015498	ENSGACG00000007632	ENSONIG00000020182	ENSORLG00000016466	ENSPFOG00000015097	ENSTRUG00000018297	
ENSDARG00000102252	ENSDART00000166852	15	ENSAMXG00000002913	ENSDARG00000102252		ENSGACG00000019735	ENSONIG00000012445	ENSORLG00000001605	ENSPFOG00000002074	ENSTRUG00000001104	
ENSDARG00000102265	ENSDART00000161667	5	ENSAMXG00000003350	ENSDARG00000102265	ENSGMOG00000010034	ENSGACG00000006073	ENSONIG00000009036	ENSORLG00000016455	ENSPFOG00000000560	ENSTRUG00000010701	
